,shot_noise,shot_noise,shot_noise,shot_noise,shot_noise,motion_blur,motion_blur,motion_blur,motion_blur,motion_blur,snow,snow,snow,snow,snow,pixelate,pixelate,pixelate,pixelate,pixelate,gaussian_noise,gaussian_noise,gaussian_noise,gaussian_noise,gaussian_noise,defocus_blur,defocus_blur,defocus_blur,defocus_blur,defocus_blur,brightness,brightness,brightness,brightness,brightness,fog,fog,fog,fog,fog,zoom_blur,zoom_blur,zoom_blur,zoom_blur,zoom_blur,frost,frost,frost,frost,frost,glass_blur,glass_blur,glass_blur,glass_blur,glass_blur,impulse_noise,impulse_noise,impulse_noise,impulse_noise,impulse_noise,contrast,contrast,contrast,contrast,contrast,jpeg_compression,jpeg_compression,jpeg_compression,jpeg_compression,jpeg_compression,elastic_transform,elastic_transform,elastic_transform,elastic_transform,elastic_transform
Kireev2021Effectiveness_AugMixNoJSD,0.9249,0.9051,0.8295,0.7844,0.7,0.9395,0.9239,0.8996,0.8971,0.8711,0.9249,0.8829,0.8785,0.8549,0.8412,0.9405,0.9269,0.9117,0.8437,0.7066,0.9064,0.8417,0.7522,0.6976,0.6424,0.9504,0.9482,0.9444,0.9317,0.8973,0.9487,0.9462,0.9424,0.9359999999999999,0.9236,0.9474,0.9412,0.9306,0.9128,0.8191,0.9332,0.9328,0.9215,0.9077,0.8794,0.9317,0.9069,0.8628,0.8658,0.8152,0.7681,0.7686,0.787,0.6464,0.6777,0.9317,0.9077,0.8746,0.7645,0.5991,0.9473,0.934,0.922,0.8935,0.6832,0.9051,0.8699,0.863,0.8461,0.8151,0.9262,0.9279999999999999,0.9202,0.8625,0.8012
Kireev2021Effectiveness_RLATAugMixNoJSD,0.9398,0.9312,0.8907,0.8658,0.8109999999999999,0.9366,0.9223,0.9044,0.9024,0.8759999999999999,0.9304,0.8948,0.8866,0.858,0.8543,0.9409,0.9309999999999999,0.9259999999999999,0.8897,0.7975,0.9317,0.9013,0.8505,0.8123,0.7782,0.9473,0.9454,0.9388,0.9302,0.8986,0.9481,0.9462,0.9415,0.9347,0.9178,0.9478,0.938,0.9209,0.892,0.7755,0.9341,0.9344,0.9267,0.9193,0.9025,0.9382,0.9159,0.8892,0.8879,0.8551,0.8345,0.8365,0.852,0.7298,0.7595,0.9346,0.9132,0.8872,0.8005,0.6669,0.9443,0.9188,0.8984,0.8378,0.4563,0.9276,0.9096,0.9047,0.8934,0.882,0.9255,0.9283,0.9214,0.8915,0.8548
Kireev2021Effectiveness_RLAT,0.927,0.9206,0.8808,0.8626,0.8074,0.9045,0.863,0.8024,0.8042,0.7422,0.9125,0.8825,0.8648,0.8245,0.8251,0.9266,0.919,0.9148,0.8986,0.851,0.9242,0.8965,0.8571,0.8293,0.7926,0.9272,0.9172,0.8962,0.8625,0.7557,0.9312,0.9285,0.9215,0.9124,0.8804,0.9214,0.8851,0.828,0.7242,0.4763,0.8944,0.8876,0.8676,0.8464,0.8086,0.9186,0.8944,0.8583,0.8607,0.8185,0.8370000000000001,0.8445,0.8531,0.7299,0.7561,0.9136,0.8835,0.8461,0.736,0.5995,0.9134,0.8251,0.7116,0.4903,0.1918,0.9195,0.9087,0.9048,0.9009999999999999,0.8923,0.8959999999999999,0.8981,0.8796,0.8553,0.8314
Kireev2021Effectiveness_RLATAugMix,0.9394,0.9322,0.8923,0.8717,0.8249,0.94,0.9295,0.9138,0.9147,0.8953,0.9321,0.9061,0.8967,0.8702,0.8645,0.9418,0.9345,0.9281,0.9009,0.8293,0.9315,0.9068,0.8631,0.8343,0.7979,0.9469,0.9440000000000001,0.94,0.932,0.9121,0.9487,0.9481,0.9447,0.9398,0.9277,0.9464,0.9397,0.9232,0.8959,0.784,0.9377,0.9382,0.9325,0.9253,0.9133,0.9389,0.9224,0.8977,0.8976,0.8646,0.8521,0.8573,0.8694,0.7558,0.7829999999999999,0.937,0.9182,0.8883,0.8187,0.7070000000000001,0.9455,0.9296,0.9159,0.8873,0.6509999999999999,0.9259,0.9102,0.9031,0.8977,0.8817,0.9262,0.9304,0.9211,0.8957,0.8574
Rebuffi2021Fixing_70_16_cutmix_extra_L2,0.9511,0.9405,0.8915,0.8595,0.7835,0.9435,0.9224,0.8979,0.8969,0.8589,0.9451,0.9278,0.9156,0.8879,0.8832,0.9524,0.9491,0.946,0.9357,0.9151,0.9444,0.9121,0.8573,0.8175,0.7667,0.9557,0.9484,0.9378,0.9249,0.8788,0.9583,0.9579,0.955,0.9488,0.9276,0.9467,0.911,0.8527,0.7519,0.5136,0.9385,0.9361,0.9291,0.9189,0.9016,0.9499,0.9353,0.9099,0.9076,0.8754,0.8942,0.8984,0.9086,0.8143,0.8462,0.9425,0.9188,0.8887,0.7737,0.6045,0.9394,0.8571,0.7524,0.5383,0.215,0.9494,0.9439,0.9414,0.9362,0.9332,0.9326,0.9339,0.9257,0.9136,0.9011
Rebuffi2021Fixing_70_16_cutmix_extra_Linf,0.9136,0.9025,0.8590000000000001,0.8321,0.7813,0.8981,0.8736,0.8356,0.8369,0.7918,0.9113,0.9022,0.8859,0.8571,0.8484,0.9155,0.9098,0.9053,0.8934,0.8719,0.9056,0.877,0.8302,0.8006,0.7694,0.9176,0.9057,0.8898,0.8717,0.82,0.9262,0.9247,0.9207,0.9119,0.8732,0.9023,0.8364,0.7361,0.6069,0.3637,0.8904,0.8864,0.8757,0.8672,0.8472,0.9133,0.8899,0.8523,0.8509,0.8169,0.8617,0.8624,0.8643,0.7943,0.8064,0.8831,0.84,0.7935,0.7048,0.6112,0.8861,0.6968,0.4959,0.2794,0.1886,0.9082,0.8988,0.8976,0.8941,0.8871,0.8845,0.8841,0.8752,0.8622,0.8472
Diffenderfer2021Winning_LRR,0.9494,0.9312,0.8661,0.8259,0.7391,0.9594,0.9513,0.9403,0.942,0.9303,0.9525,0.933,0.9265,0.909,0.9025,0.9606,0.9493,0.9424,0.8973,0.7847,0.9319,0.8805,0.7967,0.7424,0.6869,0.9658,0.9645,0.9601,0.9535,0.9375,0.9661,0.9633,0.961,0.9579,0.9481,0.9647,0.9608,0.9548,0.9425,0.8815,0.9559,0.9576,0.9525,0.9489,0.9327,0.9541,0.9372,0.916,0.9128,0.8805,0.8578,0.8666,0.8744,0.7571,0.7844,0.9569,0.944,0.9271,0.8642,0.7626,0.9647,0.9588,0.9539,0.939,0.8474,0.9258,0.9062,0.897,0.8796,0.8557,0.947,0.9524,0.9478,0.9121,0.8641
Diffenderfer2021Winning_Binary,0.934,0.9226,0.8737,0.8495,0.8019,0.9390000000000001,0.9277,0.9066,0.909,0.8899,0.9299,0.8919,0.8843,0.8625,0.8429,0.9399,0.9277,0.9179999999999999,0.8745,0.7773,0.9208,0.8841,0.8244,0.7925,0.7514,0.948,0.9457,0.9406,0.9341,0.9079,0.9466,0.9432,0.9374,0.9333,0.9196,0.9441,0.9406,0.9285,0.9067,0.8105,0.9353,0.9347,0.9279,0.9194,0.8994,0.9327,0.9086,0.8744,0.8742,0.828,0.8128,0.8181,0.8282,0.7103,0.7316,0.9281,0.9054,0.873,0.7781,0.652,0.9444,0.9308,0.9165,0.8888,0.6984,0.9161,0.8957,0.8891,0.8753,0.8531,0.9266,0.9279999999999999,0.9224,0.8853,0.8340000000000001
Diffenderfer2021Winning_LRR_CARD_Deck,0.9572,0.9515,0.9304,0.9229,0.9042,0.9585,0.9456,0.9304,0.9351,0.9147,0.956,0.9417,0.9305,0.9092,0.9055,0.961,0.9553,0.9506,0.9251,0.8495,0.9504,0.9348,0.9172,0.9054,0.8914,0.9653,0.9634,0.9601,0.9506,0.9224,0.9646,0.9636,0.9615,0.9574,0.9457,0.9642,0.9609,0.9453,0.9281,0.8340000000000001,0.9551,0.9542,0.9475,0.9389,0.9219,0.9569,0.9444,0.9269,0.9273,0.9006,0.8925,0.8958,0.8996,0.8039,0.8228,0.9604,0.9528,0.9462,0.912,0.8640000000000001,0.9647,0.952,0.9375,0.9132,0.7956,0.9445,0.9334,0.929,0.9235,0.9088,0.9512,0.9511,0.9464,0.9154,0.8783
Diffenderfer2021Winning_Binary_CARD_Deck,0.945,0.9388,0.9229,0.9149,0.9036,0.9376,0.9214,0.8957,0.8954,0.8701,0.9385,0.9134,0.8982,0.8668,0.8621,0.9441,0.9362,0.9307,0.9015,0.8225,0.9388,0.9276,0.9112,0.9004,0.8925,0.9499,0.9447,0.9369,0.9243,0.8857,0.9503,0.9474,0.9418,0.9356,0.9172,0.9481,0.9366,0.9171,0.884,0.746,0.9339,0.9309,0.9229999999999999,0.9134,0.8909999999999999,0.9381,0.9195,0.8985,0.8986,0.8692,0.8724,0.8713,0.8741,0.778,0.7933,0.9431,0.9291,0.9186,0.8843,0.8426,0.9444,0.9192,0.8918,0.8402,0.6042,0.9329999999999999,0.9203,0.9161,0.9096,0.8966,0.9295,0.9321,0.9211,0.8895,0.851
Addepalli2021Towards_WRN34,0.8466,0.8389,0.7994,0.7758,0.7151,0.8236,0.7945,0.7601,0.7581,0.724,0.8451,0.8379,0.8177,0.8048,0.7985,0.8448,0.8405,0.8333,0.8212,0.8016,0.8394,0.8172,0.7719,0.7423,0.7037,0.8459,0.8326,0.815,0.7972,0.7467,0.8587,0.8588,0.8568,0.8526,0.8317,0.8303,0.7687,0.684,0.5667,0.3517,0.816,0.8127,0.8043,0.7947,0.7759,0.8483,0.8285,0.7935,0.7843,0.7467,0.7998,0.8012,0.7935,0.7425,0.7465,0.8248,0.7948,0.7542,0.6549,0.551,0.8118,0.6633,0.5305,0.3584,0.1953,0.8379,0.8307,0.8279,0.8231,0.8195,0.8062,0.8101,0.7952,0.781,0.7728
Modas2021PRIMEResNet18,0.9203,0.9157,0.8993,0.8975,0.8848,0.92,0.906,0.8883,0.8885,0.8677,0.918,0.899,0.8857,0.856,0.856,0.9222,0.9118,0.9073,0.8814,0.8356,0.9145,0.901,0.8902,0.8767,0.8686,0.928,0.9236,0.9165,0.907,0.8845,0.929,0.9275,0.925,0.9238,0.9148,0.9288,0.9173,0.898,0.8575,0.7277,0.9156,0.9163,0.9112,0.9063,0.8931,0.9211,0.9097,0.8953,0.894,0.8807,0.8737,0.8744,0.8802,0.8246,0.8343,0.9148,0.8877,0.8668,0.8048,0.743,0.9291,0.9172,0.9096,0.8936,0.8389,0.914,0.8997,0.8954,0.8903,0.8804,0.9055,0.908,0.8996,0.8799,0.8594
Erichson2022NoisyMix,0.9611,0.9529,0.9339,0.9198,0.8991,0.9588,0.9463,0.9318,0.9327,0.9118,0.9581,0.9396,0.935,0.9166,0.9065,0.9594,0.95,0.9427,0.8862,0.7533,0.9548,0.9395,0.912,0.9003,0.8818,0.9668,0.9637,0.959,0.9513,0.9269,0.9682,0.9659,0.9636,0.9601,0.9493,0.9666,0.961,0.9509,0.9338,0.8563,0.9545,0.9536,0.9469,0.9417,0.9276,0.9621,0.9497,0.9329,0.9292,0.9076,0.8973,0.8964,0.9038,0.8305,0.8412,0.9662,0.9658,0.9647,0.9614,0.9618,0.9666,0.957,0.946,0.9136,0.6425,0.9429,0.9272,0.9201,0.9098,0.8909,0.9512,0.9506,0.945,0.9175,0.8805
Addepalli2022Efficient_WRN_34_10,0.8819,0.8752,0.8474,0.8345,0.8038,0.8565,0.8319,0.7952,0.7941,0.7508,0.8752,0.8623,0.8473,0.8132,0.797,0.8798,0.8738,0.8701,0.8565,0.838,0.8769,0.8596,0.8286,0.8123,0.7974,0.8811,0.8657,0.8483,0.8315,0.7803,0.888,0.8859,0.8799,0.8693,0.8309,0.8674,0.7994,0.7051,0.5727,0.3483,0.8485,0.8429,0.8306,0.8208,0.8012,0.87,0.8425,0.8033,0.805,0.7798,0.8378,0.8365,0.8345,0.7796,0.7841,0.8618,0.8301,0.8075,0.7472,0.703,0.8498,0.6766,0.5126,0.3187,0.1941,0.873,0.866,0.8609,0.8576,0.8571,0.8401,0.84,0.8353,0.8175,0.8074
